# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	18540
#@/user_id	6b7ea6f5-52f9-45c1-9d3f-d367721ba4bb
a 	啊	c=105 d=0.0106531 t=18540
jie shi 	解釋	c=4 d=0.00194744 t=18540
jie shou 	接受	c=2 d=3.66274e-12 t=18540
jie shou dao 	接受到	c=1 d=7.07234e-14 t=18540
jie shu 	借書	c=1 d=2.06074e-36 t=18540
jie shu 	結束	c=5 d=5.86479e-15 t=18540
jie suo 	解鎖	c=1 d=2.92035e-20 t=18540
jie tu 	截圖	c=11 d=0.585716 t=18540
jie wei 	結尾	c=2 d=0.606531 t=18540
jie xi 	解析	c=2 d=2.377e-08 t=18540
jie xia lai 	接下來	c=1 d=5.62992e-07 t=18540
jie ya 	解壓	c=5 d=0.106627 t=18540
jie ye 	結業	c=1 d=5.64335e-35 t=18540
jie yu 	結語	c=2 d=0.109327 t=18540
jie zhe 	接着	c=1 d=4.11215e-17 t=18540
jin 	僅	c=3 d=0.210136 t=18540
jin 	近	c=3 d=2.84485e-06 t=18540
jin 	進	c=4 d=4.85996e-12 t=18540
jin 	金	c=12 d=0.000588941 t=18540
jin bu qu 	進不去	c=5 d=7.56964e-10 t=18540
jin e 	金額	c=2 d=2.20672e-35 t=18540
jin fa 	金髮	c=1 d=2.28732e-28 t=18540
jin gong 	僅供	c=1 d=3.18657e-17 t=18540
jin guan 	儘管	c=2 d=5.33045e-11 t=18540
jin jie 	進階	c=0 d=0.00152985 t=18540
jin jie de 	進階的	c=1 d=0.0153752 t=18540
jin jin 	僅僅	c=1 d=2.01959e-34 t=18540
jin ke 	僅可	c=1 d=1.32583e-24 t=18540
jin kou 	進口	c=2 d=8.68042e-32 t=18540
jin lai 	進來	c=2 d=3.66033e-30 t=18540
jin li 	盡力	c=2 d=0.0463358 t=18540
jin nian 	今年	c=5 d=0.00493234 t=18540
jin nian 	近年	c=1 d=9.9123e-15 t=18540
jin qu 	進去	c=5 d=5.53461e-12 t=18540
jin rong 	金融	c=9 d=7.21634e-21 t=18540
jin rong lei 	金融類	c=1 d=6.05048e-31 t=18540
jin ru 	進入	c=6 d=0.000623601 t=18540
jin shen 	謹慎	c=2 d=6.82793e-12 t=18540
jin shi dun 	金士頓	c=2 d=1.28573e-37 t=18540
jin shu 	金屬	c=1 d=3.83545e-21 t=18540
jin tian 	今天	c=18 d=1.80148e-13 t=18540
jin wan 	今晚	c=1 d=2.62381e-25 t=18540
jin xing 	進行	c=44 d=0.119604 t=18540
jin yi bu 	進一步	c=1 d=5.56425e-16 t=18540
jin yong 	禁用	c=4 d=2.78852e-06 t=18540
jin you 	僅有	c=1 d=1.1461e-16 t=18540
jin zhi 	禁止	c=7 d=3.79181e-05 t=18540
jing 	經	c=1 d=3.724e-27 t=18540
jing bu qi 	經不起	c=1 d=1.213e-07 t=18540
jing chang 	經常	c=3 d=5.95027e-11 t=18540
jing dian 	經典	c=1 d=7.92996e-37 t=18540
jing guo 	經過	c=1 d=6.86332e-14 t=18540
jing ji 	經濟	c=2 d=6.38171e-11 t=18540
jing nei 	境內	c=3 d=1.80431e-21 t=18540
jing ran 	竟然	c=1 d=5.54026e-24 t=18540
jing tong 	精通	c=1 d=0.00362464 t=18540
jing tou 	鏡頭	c=1 d=9.14057e-32 t=18540
jing wai 	境外	c=1 d=1.94178e-13 t=18540
jing yan 	經驗	c=3 d=1.37023e-26 t=18540
jiu 	就	c=41 d=0.755867 t=18540
jiu 	酒	c=1 d=3.20527e-27 t=18540
jiu bu 	就不	c=0 d=1.14174e-31 t=18540
jiu bu xing 	就不行	c=1 d=1.25621e-07 t=18540
jiu bu yong 	就不用	c=1 d=1.14746e-30 t=18540
jiu cai 	韭菜	c=2 d=3.74597e-08 t=18540
jiu cheng 	九成	c=1 d=2.14819e-25 t=18540
jiu gao ding 	就搞定	c=1 d=2.21249e-19 t=18540
jiu hao 	就好	c=2 d=1.85922e-28 t=18540
jiu hen fan 	就很煩	c=1 d=5.31759e-12 t=18540
jiu jiao 	就叫	c=1 d=5.83027e-36 t=18540
jiu jin shan 	舊金山	c=1 d=1.37329e-26 t=18540
jiu ke yi 	就可以	c=7 d=0.00597895 t=18540
jiu lei 	酒類	c=1 d=1.44892e-39 t=18540
jiu mei you 	就沒有	c=1 d=6.23581e-33 t=18540
jiu neng 	就能	c=2 d=0.00408677 t=18540
jiu shi 	就是	c=26 d=7.91497e-07 t=18540
jiu shou 	就收	c=2 d=2.49179e-19 t=18540
jiu suan 	就算	c=2 d=1.5197e-07 t=18540
jiu wei 	就爲	c=2 d=3.45374e-23 t=18540
jiu wo 	就我	c=1 d=8.24938e-31 t=18540
jiu xiang 	就像	c=1 d=4.03828e-39 t=18540
jiu xing 	就行	c=7 d=1.19563e-06 t=18540
jiu xu 	就緒	c=1 d=4.47697e-17 t=18540
jiu ye 	就業	c=2 d=1.14434e-26 t=18540
jiu you 	就有	c=4 d=1.9103e-26 t=18540
jiu zhe xie 	就這些	c=1 d=1.15164e-14 t=18540
jiu zhe yang 	就這樣	c=1 d=6.39149e-29 t=18540
jiu zhou 	九州	c=1 d=1.59223e-31 t=18540
ju 	舉	c=1 d=1.27341e-20 t=18540
ju he 	聚合	c=2 d=1.6786e-27 t=18540
ju jie 	拒接	c=1 d=1.2279e-33 t=18540
ju jue 	拒絕	c=2 d=6.54995e-23 t=18540
ju li 	距離	c=1 d=4.17643e-23 t=18540
ju shou 	拒收	c=1 d=4.83732e-16 t=18540
ju ti 	具體	c=4 d=0.268474 t=18540
ju you 	具有	c=1 d=1.08402e-08 t=18540
ju yu wang 	局域網	c=1 d=2.73609e-18 t=18540
ju zhu 	居住	c=2 d=1.46124e-21 t=18540
ju zhu zheng 	居住證	c=4 d=2.42289e-21 t=18540
ju zi 	句子	c=2 d=1.25339e-10 t=18540
juan 	卷	c=1 d=5.67279e-08 t=18540
jue da 	絕大	c=1 d=1.79493e-29 t=18540
jue da duo shu 	絕大多數	c=1 d=1.72514e-33 t=18540
jue da duo shu ren 	絕大多數人	c=1 d=1.65265e-28 t=18540
jue de 	覺得	c=1 d=5.46429e-38 t=18540
jue ding 	決定	c=2 d=1.0664e-21 t=18540
jue dui 	絕對	c=4 d=6.12434e-16 t=18540
jue zhan 	決戰	c=1 d=1.21152e-22 t=18540
jun 	均	c=1 d=4.99925e-21 t=18540
jun dui 	軍隊	c=1 d=1.24519e-21 t=18540
jun gong 	軍工	c=1 d=1.36032e-32 t=18540
jun ke 	均可	c=1 d=0.00100276 t=18540
ka 	卡	c=25 d=6.75121e-10 t=18540
ka ba si ji 	卡巴斯基	c=1 d=1.23024e-26 t=18540
ka dun 	卡噸	c=1 d=4.60611e-28 t=18540
ka shan 	喀山	c=1 d=2.2486e-33 t=18540
kai 	開	c=6 d=2.6477e-16 t=18540
kai cang 	開倉	c=2 d=1.07538e-35 t=18540
kai chang bai 	開場白	c=1 d=2.64604e-36 t=18540
kai chu 	開除	c=1 d=4.57612e-11 t=18540
kai chu ni 	開除你	c=1 d=4.59906e-10 t=18540
kai fa 	開發	c=1 d=1.80891e-32 t=18540
kai fa ban 	開發板	c=1 d=4.25863e-17 t=18540
kai fa zhe 	開發者	c=1 d=2.5058e-13 t=18540
kai fang 	開房	c=1 d=3.48311e-05 t=18540
kai fang 	開放	c=4 d=0.130682 t=18540
kai ge 	開個	c=5 d=4.18753e-10 t=18540
kai hu 	開戶	c=4 d=1.81855e-06 t=18540
kai ji 	開機	c=1 d=4.34318e-13 t=18540
kai qi 	開啓	c=19 d=0.133746 t=18540
kai shi 	開始	c=23 d=0.0147266 t=18540
kai tong 	開通	c=2 d=0.126818 t=18540
kai yuan 	開源	c=7 d=0.000282366 t=18540
kan 	看	c=21 d=6.02901e-10 t=18540
kan bi 	堪比	c=1 d=6.31606e-07 t=18540
kan bu dong 	看不懂	c=6 d=0.909373 t=18540
kan dao 	看到	c=13 d=0.0129557 t=18540
kan dao ni 	看到你	c=1 d=3.34074e-14 t=18540
kan de dong 	看得懂	c=1 d=6.67409e-38 t=18540
kan de la 	坎德拉	c=1 d=6.33241e-08 t=18540
kan dian ying 	看電影	c=1 d=5.43518e-34 t=18540
kan dong 	看懂	c=3 d=5.41139e-11 t=18540
kan guo 	看過	c=1 d=3.39007e-10 t=18540
kan jian 	看見	c=1 d=2.9043e-14 t=18540
kan kan 	看看	c=25 d=0.607156 t=18540
kan lai 	看來	c=1 d=2.37703e-10 t=18540
kan ni 	看你	c=1 d=9.24423e-33 t=18540
kan ni zi ji lo 	看你自己咯	c=1 d=7.03085e-33 t=18540
kan qi lai 	看起來	c=6 d=0.486752 t=18540
kan wan 	看完	c=5 d=3.38247e-13 t=18540
kan zhe ge 	看這個	c=1 d=1.05525e-15 t=18540
kan zhong 	看重	c=1 d=6.09655e-32 t=18540
kang ri 	抗日	c=1 d=1.23599e-22 t=18540
kao 	考	c=6 d=7.99748e-19 t=18540
kao 	靠	c=1 d=4.35294e-10 t=18540
kao dian 	考點	c=1 d=4.23955e-23 t=18540
kao lv 	考慮	c=3 d=1.1234e-16 t=18540
kao shang 	考上	c=1 d=0.519442 t=18540
kao sheng 	考生	c=1 d=8.32378e-19 t=18540
kao shi 	考試	c=26 d=1.03391 t=18540
ke 	可	c=8 d=0.0378383 t=18540
ke 	殼	c=1 d=0.0115624 t=18540
ke 	課	c=2 d=1.66122e-30 t=18540
ke cheng 	課程	c=12 d=9.37549e-18 t=18540
ke fu 	客服	c=8 d=0.954961 t=18540
ke hu 	客戶	c=1 d=2.08655e-07 t=18540
ke hu duan 	客戶端	c=18 d=2.5628e-06 t=18540
ke hu ji qi 	客戶機器	c=1 d=2.09701e-06 t=18540
ke ji 	科技	c=1 d=1.08757e-17 t=18540
ke li mi ya 	克里米亞	c=1 d=7.7584e-15 t=18540
ke long 	克隆	c=1 d=5.04262e-05 t=18540
ke mu 	科目	c=1 d=5.92866e-27 t=18540
ke neng 	可能	c=14 d=1.69777e-08 t=18540
ke neng shi 	可能是	c=2 d=7.23142e-11 t=18540
ke pu 	科普	c=1 d=1.34771e-40 t=18540
ke qi 	客氣	c=3 d=4.20548e-15 t=18540
ke wen 	課文	c=2 d=4.06004e-36 t=18540
ke xue 	科學	c=4 d=0.463013 t=18540
ke yi 	可以	c=158 d=0.409952 t=18540
ke yi 	可疑	c=5 d=1.3115e-32 t=18540
ke yi ya 	可以呀	c=1 d=3.33438e-21 t=18540
ke yong 	可用	c=2 d=0.00040165 t=18540
ke zhi xing 	可執行	c=2 d=9.83673e-05 t=18540
ken ding 	肯定	c=10 d=0.00037164 t=18540
keng 	坑	c=1 d=8.1086e-05 t=18540
kong 	空	c=3 d=3.34881e-13 t=18540
kong bai 	空白	c=1 d=2.95472e-40 t=18540
kong fang 	空方	c=17 d=2.82163e-34 t=18540
kong ge 	空格	c=6 d=4.18088e-06 t=18540
kong jian 	空間	c=4 d=0.015971 t=18540
kong ke 	空客	c=1 d=1.84163e-37 t=18540
kong lei xing 	空類型	c=1 d=1.02316e-34 t=18540
kong pa 	恐怕	c=1 d=1.65868e-12 t=18540
kong qi 	空氣	c=1 d=6.98033e-07 t=18540
kong yu 	空餘	c=1 d=1.09869e-19 t=18540
kong zhi 	控制	c=9 d=4.51176e-06 t=18540
kong zhi qi 	控制器	c=0 d=1.36361e-32 t=18540
kou suan 	口算	c=1 d=6.20808e-10 t=18540
kou zhao 	口罩	c=1 d=1.30765e-38 t=18540
ku 	庫	c=5 d=0.00479587 t=18540
ku ming 	庫名	c=3 d=0.0090129 t=18540
ku zi 	褲子	c=1 d=8.20265e-23 t=18540
kua zhang 	誇張	c=1 d=3.82229e-10 t=18540
kuai 	快	c=6 d=0.00372573 t=18540
kuai de hua 	快的話	c=1 d=9.37386e-05 t=18540
kuai di 	快遞	c=5 d=1.20821 t=18540
kuai jie 	快捷	c=1 d=1.05088e-25 t=18540
kuai le 	快樂	c=1 d=4.27328e-28 t=18540
kuai qian 	塊錢	c=1 d=7.19781e-15 t=18540
kuai su 	快速	c=4 d=2.18889e-07 t=18540
kuai yi dian 	快一點	c=1 d=1.10476e-25 t=18540
kuan 	寬	c=1 d=1.42366e-38 t=18540
kuan dai 	寬帶	c=1 d=6.18974e-34 t=18540
kuang 	框	c=3 d=6.77714e-09 t=18540
kuang jia 	框架	c=3 d=3.49272e-08 t=18540
kui 	虧	c=4 d=2.90957e-35 t=18540
kui ben 	虧本	c=1 d=7.13468e-29 t=18540
kui sun 	虧損	c=1 d=6.25534e-11 t=18540
kun bang 	捆綁	c=1 d=4.84489e-05 t=18540
kun nan 	困難	c=1 d=6.30062e-37 t=18540
la 	啦	c=2 d=8.72945e-20 t=18540
la 	拉	c=1 d=3.43125e-05 t=18540
la 	辣	c=1 d=6.2252e-13 t=18540
la chang 	拉長	c=2 d=2.27636e-19 t=18540
la ji 	垃圾	c=2 d=4.23527e-11 t=18540
la ji xiang 	垃圾箱	c=2 d=3.38193e-11 t=18540
la jiao 	辣椒	c=1 d=5.66103e-13 t=18540
lai 	來	c=27 d=4.67558e-10 t=18540
lai dao 	來到	c=1 d=1.65355e-05 t=18540
lai dao zhe li 	來到這裏	c=1 d=0.826959 t=18540
lai dian 	來點	c=2 d=8.62321e-23 t=18540
lai ge 	來個	c=3 d=0.00271219 t=18540
lai shuo 	來說	c=1 d=7.90007e-22 t=18540
lai suan 	來算	c=1 d=1.16822e-35 t=18540
lai yuan 	來源	c=1 d=1.12535e-07 t=18540
lai zhe 	來着	c=1 d=5.24378e-24 t=18540
lai zi 	來自	c=5 d=5.59214e-16 t=18540
lan 	欄	c=1 d=4.44073e-39 t=18540
lan jie 	攔截	c=6 d=0.00926863 t=18540
lan ping 	藍屏	c=2 d=0.0116816 t=18540
lan ya 	藍牙	c=13 d=3.18202e-05 t=18540
lang fei 	浪費	c=1 d=4.41332e-25 t=18540
lang ren 	狼人	c=0 d=6.68795e-34 t=18540
lang ren sha 	狼人殺	c=1 d=6.72148e-33 t=18540
lao 	老	c=9 d=6.77911e-15 t=18540
lao ban 	老闆	c=1 d=8.20823e-31 t=18540
lao da 	老大	c=2 d=3.08284e-10 t=18540
lao gao 	老高	c=1 d=2.51785e-40 t=18540
lao hu 	老虎	c=5 d=5.21277e-12 t=18540
lao mao zi 	老毛子	c=1 d=0.00185476 t=18540
lao po 	老婆	c=1 d=3.6882e-31 t=18540
lao shi 	老實	c=1 d=8.1379e-18 t=18540
lao shi 	老師	c=3 d=3.34579e-18 t=18540
lao shu 	老鼠	c=1 d=0.543351 t=18540
lao wai 	老外	c=4 d=9.83248e-08 t=18540
le 	了	c=384 d=2.62467 t=18540
le suo 	勒索	c=1 d=3.15863e-31 t=18540
lei 	類	c=6 d=7.93022e-08 t=18540
lei niao 	雷鳥	c=1 d=4.71533e-39 t=18540
lei si 	累死	c=1 d=9.09963e-38 t=18540
lei si 	類似	c=11 d=3.29142e-05 t=18540
lei xing 	類型	c=6 d=0.00594622 t=18540
leng chang 	冷場	c=0 d=9.53499e-30 t=18540
leng chang wang 	冷場王	c=1 d=9.58278e-29 t=18540
leng zhan 	冷戰	c=1 d=4.61174e-13 t=18540
li 	力	c=1 d=1.89352e-11 t=18540
li 	裏	c=2 d=4.12935e-35 t=18540
li 	里	c=7 d=0.00169512 t=18540
li cai 	理財	c=1 d=8.74162e-07 t=18540
li hai 	厲害	c=1 d=5.30279e-38 t=18540
li ji 	立即	c=5 d=0.0148823 t=18540
li ji cha kan 	立即查看	c=1 d=0.149569 t=18540
li jia 	離家	c=1 d=3.12773e-33 t=18540
li jie 	理解	c=11 d=1.40593e-10 t=18540
li ke 	理科	c=1 d=7.08197e-30 t=18540
li lun 	理論	c=5 d=0.0166475 t=18540
li mao 	禮貌	c=1 d=7.79596e-14 t=18540
li mian 	裏面	c=2 d=9.53823e-33 t=18540
li pin 	禮品	c=1 d=4.67731e-32 t=18540
li shi 	歷史	c=15 d=9.84906e-20 t=18540
li xian 	離線	c=2 d=0.000320701 t=18540
li yong 	利用	c=45 d=0.285898 t=18540
li you 	理由	c=1 d=0.170333 t=18540
li yue 	立約	c=2 d=2.18476e-35 t=18540
li zhi 	立志	c=1 d=1.52668e-07 t=18540
lian 	臉	c=1 d=4.98973e-28 t=18540
lian ge 	連個	c=1 d=1.04457e-13 t=18540
lian he guo 	聯合國	c=1 d=1.12631e-17 t=18540
lian jie 	連接	c=21 d=3.81284e-05 t=18540
lian jie 	鏈接	c=4 d=0.14808 t=18540
lian meng 	聯盟	c=1 d=4.14346e-18 t=18540
lian ren 	連任	c=1 d=0.0110536 t=18540
lian wang 	聯網	c=2 d=0.000382034 t=18540
lian xi 	練習	c=6 d=0.0256111 t=18540
lian xi 	聯繫	c=9 d=0.630333 t=18540
lian xi ti 	練習題	c=1 d=1.24714e-10 t=18540
lian xian 	連線	c=1 d=1.70154e-18 t=18540
lian xiang 	聯想	c=1 d=6.17796e-41 t=18540
liang 	亮	c=18 d=2.42445e-38 t=18540
liang 	兩	c=4 d=2.77201e-13 t=18540
liang bu 	兩部	c=1 d=6.40695e-28 t=18540
liang chan 	量產	c=1 d=1.13527e-22 t=18540
liang ci 	兩次	c=1 d=1.3821e-13 t=18540
liang fen 	兩份	c=1 d=2.88431e-21 t=18540
liang ge 	兩個	c=10 d=1.51954e-06 t=18540
liang jie 	諒解	c=1 d=1.44493e-36 t=18540
liang pang 	兩旁	c=1 d=1.08776e-19 t=18540
liang ren 	兩人	c=1 d=4.28959e-14 t=18540
liang sheng huo 	兩生活	c=1 d=2.39505e-40 t=18540
liang shi 	糧食	c=1 d=6.1931e-11 t=18540
liang tian 	兩天	c=1 d=4.85563e-31 t=18540
liang zi 	量子	c=6 d=0.000174508 t=18540
liao 	聊	c=1 d=2.45952e-29 t=18540
liao jie 	瞭解	c=8 d=0.157053 t=18540
liao liao 	聊聊	c=3 d=2.97064e-15 t=18540
liao mei 	撩妹	c=1 d=4.11565e-27 t=18540
liao tian 	聊天	c=7 d=9.33505e-15 t=18540
lie che 	列車	c=1 d=1.10608e-39 t=18540
lie chu 	列出	c=2 d=0.00442715 t=18540
lie ju 	列舉	c=2 d=0.00463134 t=18540
lie ju chu 	列舉出	c=1 d=3.59041e-09 t=18540
lie ning ge le 	列寧格勒	c=1 d=2.28258e-33 t=18540
lin shi 	臨時	c=0 d=6.27153e-13 t=18540
lin shi bian liang 	臨時變量	c=1 d=6.30297e-12 t=18540
ling 	另	c=2 d=1.55836e-13 t=18540
ling 	零	c=1 d=1.54518e-31 t=18540
ling dang bie lun 	另當別論	c=1 d=4.69196e-10 t=18540
ling huo 	靈活	c=1 d=5.40072e-18 t=18540
ling pai 	令牌	c=2 d=0.0917763 t=18540
ling shi 	零食	c=1 d=6.89281e-35 t=18540
ling wai 	另外	c=4 d=4.39669e-10 t=18540
ling wang 	零網	c=1 d=2.60036e-37 t=18540
liu 	六	c=1 d=3.87928e-37 t=18540
liu 	劉	c=2 d=2.39716e-12 t=18540
liu 	柳	c=2 d=0.00414854 t=18540
liu cheng 	流程	c=8 d=3.10578e-09 t=18540
liu ge 	六格	c=10 d=4.34584e-36 t=18540
liu hai 	劉海	c=1 d=1.84037e-29 t=18540
liu kong 	留空	c=1 d=3.82295e-12 t=18540
liu lan 	瀏覽	c=1 d=5.91939e-38 t=18540
liu lan qi 	瀏覽器	c=8 d=7.28662e-06 t=18540
liu liang 	流量	c=12 d=9.84248e-08 t=18540
liu mei ti 	流媒體	c=1 d=5.09227e-32 t=18540
liu su 	流速	c=1 d=7.01532e-07 t=18540
liu wei 	六位	c=1 d=2.16197e-12 t=18540
liu xia 	留下	c=5 d=0.279431 t=18540
liu xing 	流行	c=3 d=0.0126512 t=18540
liu xue 	留學	c=2 d=6.57382e-07 t=18540
liu yan 	留言	c=1 d=8.81868e-22 t=18540
liu ye dao 	柳葉刀	c=1 d=0.00257991 t=18540
liu you 	留有	c=1 d=2.97114e-17 t=18540
liu zhe 	留着	c=3 d=5.21188e-31 t=18540
liu zhe ba 	留着吧	c=1 d=1.06198e-31 t=18540
lo 	咯	c=7 d=7.77319e-08 t=18540
lou dong 	漏洞	c=121 d=2.42842 t=18540
lou dong wa jue 	漏洞挖掘	c=1 d=1.30272e-23 t=18540
lou sao 	漏掃	c=1 d=5.15956e-10 t=18540
lu 	路	c=2 d=2.97579e-06 t=18540
lu jing 	路徑	c=9 d=4.00371e-11 t=18540
lu ka shen ke 	盧卡申科	c=2 d=3.15165e-05 t=18540
lu qu 	錄取	c=1 d=4.46313e-10 t=18540
lu ru 	錄入	c=1 d=5.50027e-27 t=18540
lu xian 	路線	c=1 d=8.92277e-13 t=18540
lu yin 	錄音	c=1 d=4.6573e-11 t=18540
lu you 	路由	c=5 d=0.00172074 t=18540
lu you biao 	路由表	c=1 d=1.0609e-19 t=18540
lu you qi 	路由器	c=5 d=0.00121492 t=18540
lu zhi 	錄製	c=1 d=4.8347e-39 t=18540
luan 	亂	c=1 d=3.51441e-22 t=18540
luan mai 	亂買	c=1 d=6.17271e-31 t=18540
lun 	論	c=2 d=1.10955e-30 t=18540
lun tan 	論壇	c=2 d=2.10931e-16 t=18540
lun wen 	論文	c=2 d=5.8371e-10 t=18540
luo shan ji 	洛杉磯	c=1 d=3.8275e-26 t=18540
lv 	率	c=1 d=0.000724521 t=18540
lv guan 	旅館	c=1 d=0.00168667 t=18540
lv xing 	旅行	c=1 d=6.0546e-39 t=18540
lve dong 	略懂	c=1 d=3.07802e-21 t=18540
ma 	嗎	c=11 d=1.85313e-12 t=18540
ma 	嘛	c=17 d=0.806541 t=18540
ma 	碼	c=7 d=4.36e-07 t=18540
ma fan 	麻煩	c=6 d=4.98324e-12 t=18540
ma lai xi ya 	馬來西亞	c=2 d=0.00151855 t=18540
ma ma 	媽媽	c=3 d=9.57727e-22 t=18540
ma ren 	罵人	c=1 d=3.3269e-24 t=18540
ma yi 	螞蟻	c=1 d=5.02259e-17 t=18540
mai 	買	c=34 d=1.39865e-06 t=18540
mai 	賣	c=2 d=8.75277e-36 t=18540
mai ben 	買本	c=1 d=1.83849e-17 t=18540
mai cai 	買菜	c=1 d=3.37661e-22 t=18540
mai chu 	賣出	c=3 d=6.25362e-35 t=18540
mai dao 	買到	c=1 d=7.08559e-36 t=18540
mai gei 	賣給	c=1 d=5.65796e-36 t=18540
mai gu piao 	買股票	c=1 d=8.02903e-36 t=18540
mai mai 	買賣	c=1 d=4.79735e-36 t=18540
mai qian 	賣錢	c=2 d=7.55288e-25 t=18540
mai ru 	買入	c=4 d=6.17787e-35 t=18540
mai zhang 	買張	c=1 d=1.62944e-38 t=18540
man 	慢	c=4 d=1.94425e-15 t=18540
man 	漫	c=1 d=6.40586e-26 t=18540
man de la 	曼德拉	c=2 d=7.1359e-31 t=18540
man dian 	慢點	c=1 d=4.32961e-35 t=18540
man man 	慢慢	c=1 d=0.000995182 t=18540
man man 	漫漫	c=2 d=3.54117e-23 t=18540
man man fa 	慢慢發	c=1 d=0.0100017 t=18540
mang lu 	忙碌	c=0 d=3.0558e-25 t=18540
mang lu zhong 	忙碌中	c=1 d=3.07112e-24 t=18540
mao 	貓	c=2 d=1.20424e-10 t=18540
mao bing 	毛病	c=2 d=8.04544e-13 t=18540
mao jin 	毛巾	c=1 d=9.5431e-39 t=18540
mao yi 	毛衣	c=1 d=7.93131e-39 t=18540
mao yi 	貿易	c=3 d=1.18027e-31 t=18540
mao yi zhan 	貿易戰	c=2 d=7.2505e-32 t=18540
me 	麼	c=44 d=0.84359 t=18540
mei 	每	c=5 d=5.38273e-31 t=18540
mei 	沒	c=50 d=0.517001 t=18540
mei 	美	c=3 d=1.85081e-06 t=18540
mei ci 	每次	c=1 d=1.3147e-13 t=18540
mei cuo 	沒錯	c=6 d=7.9902e-07 t=18540
mei dian 	沒電	c=1 d=0.479505 t=18540
mei dun 	每噸	c=1 d=4.40642e-36 t=18540
mei fen zhong 	每分鐘	c=1 d=5.42225e-06 t=18540
mei gao ding 	沒搞定	c=1 d=1.70594e-19 t=18540
mei ge 	每個	c=3 d=1.87174e-07 t=18540
mei ge yue 	每個月	c=1 d=6.21336e-20 t=18540
mei gu 	每股	c=1 d=1.03615e-06 t=18540
mei guo 	美國	c=30 d=0.0206538 t=18540
mei hao 	美好	c=1 d=8.20544e-27 t=18540
mei jin 	美金	c=8 d=2.83872e-24 t=18540
mei ju 	枚舉	c=2 d=0.0822155 t=18540
mei kan dao 	沒看到	c=2 d=1.29826e-12 t=18540
mei li 	美麗	c=2 d=2.58651e-33 t=18540
mei mei 	妹妹	c=3 d=6.94152e-22 t=18540
mei nong 	沒弄	c=1 d=3.05528e-22 t=18540
mei nv 	美女	c=1 d=1.54014e-22 t=18540
mei qian 	沒錢	c=2 d=5.02255e-35 t=18540
mei qu 	沒去	c=2 d=6.45353e-26 t=18540
mei qu kan 	沒去看	c=1 d=6.48588e-25 t=18540
mei ren 	沒人	c=3 d=2.12739e-19 t=18540
mei sha 	沒啥	c=5 d=3.1386e-15 t=18540
mei shang 	沒上	c=1 d=0.425283 t=18540
mei shi 	沒事	c=7 d=0.522046 t=18540
mei shi jie 	美食街	c=1 d=7.65852e-39 t=18540
mei shi ya 	沒事呀	c=1 d=1.53747e-31 t=18540
mei shu 	美術	c=1 d=1.16259e-37 t=18540
mei ti 	媒體	c=1 d=3.21532e-05 t=18540
mei ti zhong 	媒體中	c=1 d=3.10093e-20 t=18540
mei tian 	每天	c=1 d=1.18285e-06 t=18540
mei ting 	沒聽	c=0 d=2.55286e-27 t=18540
mei ting shuo 	沒聽說	c=1 d=2.56565e-26 t=18540
mei wan zheng 	沒完整	c=1 d=9.75642e-05 t=18540
mei wen ti 	沒問題	c=3 d=2.94008e-11 t=18540
mei xue guo 	沒學過	c=1 d=9.93087e-37 t=18540
mei yong 	沒用	c=2 d=1.34663e-14 t=18540
mei yong guo 	沒用過	c=4 d=1.32039e-05 t=18540
mei you 	沒有	c=84 d=1.85558 t=18540
mei you ren 	沒有人	c=1 d=4.94613e-13 t=18540
mei zhou 	美洲	c=1 d=0.00159641 t=18540
mei zi 	妹子	c=4 d=3.34653e-05 t=18540
mei zu 	魅族	c=2 d=2.02513e-23 t=18540
men 	們	c=14 d=0.00270535 t=18540
meng 	夢	c=1 d=6.25321e-07 t=18540
meng li 	夢裏	c=2 d=3.77642e-15 t=18540
meng li jian 	夢裏見	c=1 d=1.11894e-28 t=18540
meng na li sha 	蒙娜麗莎	c=1 d=1.39913e-10 t=18540
mi 	米	c=1 d=3.77373e-36 t=18540
mi fan 	米飯	c=1 d=8.09291e-41 t=18540
mi feng 	蜜蜂	c=1 d=2.98553e-15 t=18540
mi ma 	密碼	c=79 d=0.441438 t=18540
mi ma xue 	密碼學	c=4 d=1.64475e-12 t=18540
mi mi 	祕密	c=1 d=2.32315e-05 t=18540
mi xin 	迷信	c=1 d=6.74483e-15 t=18540
mian 	免	c=5 d=1.68136e-21 t=18540
mian 	面	c=4 d=2.69482e-14 t=18540
mian ban 	面板	c=2 d=5.0445e-31 t=18540
mian de 	免得	c=1 d=8.78815e-40 t=18540
mian fei 	免費	c=5 d=4.83403e-08 t=18540
mian sha 	免殺	c=9 d=3.02255e-12 t=18540
miao shu 	描述	c=1 d=2.56347e-16 t=18540
min gan 	敏感	c=4 d=7.26644e-09 t=18540
min zhu dang 	民主黨	c=1 d=0.0104099 t=18540
ming 	名	c=13 d=1.70264 t=18540
ming cheng 	名稱	c=6 d=0.0147933 t=18540
ming ci 	名詞	c=4 d=1.3557e-36 t=18540
ming ling 	命令	c=40 d=0.706838 t=18540
ming nian 	明年	c=1 d=7.71683e-40 t=18540
ming shan 	名山	c=1 d=2.30992e-26 t=18540
ming tian 	明天	c=5 d=9.29926e-11 t=18540
